,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
9779,1578169,8073110,Shared room,Brooklyn,Clinton Hill,0,,7,1.0,1.0,67.0,2,40.692986,-73.966918,2014-05-12 15:57:29.963
9780,1578367,8333359,Private room,Manhattan,Upper East Side,13,5.0,2,1.0,1.0,123.0,3,40.778044,-73.944211,2014-05-12 10:51:17.986
9781,1578441,1415786,Private room,Brooklyn,Williamsburg,2,5.0,2,1.0,1.0,168.0,2,40.709699,-73.96261,2014-05-12 17:17:59.677
9782,1578776,4645357,Private room,Queens,Ditmars Steinway,5,5.0,2,1.0,1.0,77.0,2,40.77435,-73.912175,2014-05-12 00:32:15.227
9783,1578948,8604655,Entire home/apt,Manhattan,Hell's Kitchen,32,5.0,6,1.0,2.0,437.0,1,40.766915,-73.98968,2014-05-12 16:53:10.620
9784,1578976,149097,Entire home/apt,Queens,Forest Hills,6,5.0,6,1.0,1.0,225.0,3,40.712547,-73.836704,2014-05-12 19:17:47.607
9785,1578996,2862187,Entire home/apt,Brooklyn,Fort Greene,17,5.0,3,1.0,1.0,163.0,2,40.685603,-73.972437,2014-05-12 20:59:52.898
9786,1579052,5680155,Private room,Manhattan,Upper West Side,13,5.0,1,1.0,1.0,82.0,5,40.798966,-73.963682,2014-05-12 02:10:53.592
9787,1579152,733034,Entire home/apt,Manhattan,Lower East Side,4,5.0,2,1.0,1.0,168.0,2,40.719581,-73.988732,2014-05-12 12:21:24.901
9788,1579158,8336526,Entire home/apt,Manhattan,Upper West Side,0,,6,3.0,1.5,898.0,4,40.779207,-73.982064,2014-05-12 12:53:08.851
9789,1579908,6708838,Entire home/apt,Brooklyn,Clinton Hill,0,,2,1.0,1.0,168.0,1,40.687059,-73.966142,2014-05-12 11:17:25.016
9790,1580829,1384785,Private room,Manhattan,Harlem,8,4.5,2,1.0,1.0,140.0,4,40.805858,-73.9563,2014-05-12 00:57:41.538
9791,1581192,3221810,Private room,Manhattan,Harlem,1,3.5,2,1.0,1.0,101.0,1,40.828859,-73.944727,2014-05-12 11:37:46.306
9792,1581286,6270968,Private room,Brooklyn,Bedford-Stuyvesant,6,5.0,2,1.0,1.0,45.0,3,40.68359,-73.940677,2014-05-12 19:47:50.375
9793,1581466,4042560,Entire home/apt,Manhattan,Midtown,13,5.0,2,1.0,1.0,208.0,4,40.751016,-73.990041,2014-05-12 13:15:07.684
