listing_id,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
6654,1150716,1862614,Entire home/apt,Manhattan,Upper East Side,2,3.5,2,1,1,240,3,40.760977,-73.961677,17:04.3
6655,1150895,4426018,Entire home/apt,Brooklyn,Greenpoint,38,5,2,1,1,205,2,40.727406,-73.940696,00:14.2
6656,1150914,4112404,Private room,Manhattan,Hell's Kitchen,1,4,2,1,1,164,1,40.765133,-73.991772,32:06.1
6657,1150963,3845996,Entire home/apt,Manhattan,Nolita,17,5,5,2,1,317,3,40.723321,-73.994897,32:27.0
6658,1151138,5704909,Entire home/apt,Manhattan,Harlem,2,4.5,2,1,1,117,12,40.828202,-73.946716,56:22.7
6659,1151209,6309691,Entire home/apt,Brooklyn,Greenpoint,58,5,4,1,1,163,1,40.734877,-73.957855,45:03.6
6660,1151272,528994,Entire home/apt,Manhattan,Kips Bay,7,5,3,1,1,174,5,40.74177,-73.979292,24:28.8
6661,1151388,866576,Entire home/apt,Manhattan,Greenwich Village,9,5,5,2,1,454,2,40.728223,-74.001846,26:26.8
6662,1151565,416238,Entire home/apt,Brooklyn,Greenpoint,32,5,2,1,1,164,5,40.735824,-73.953427,36:45.2
6663,1151749,6313008,Entire home/apt,Brooklyn,South Slope,0,,5,3,3.5,702,4,40.66617,-73.9859,34:02.2
6664,1151980,6314526,Private room,Manhattan,Washington Heights,4,4.5,2,1,1,59,4,40.847821,-73.933044,59:03.2
6665,1154149,4858280,Entire home/apt,Brooklyn,Williamsburg,12,4.5,3,1,1,158,1,40.709022,-73.95725,40:43.5
6666,1154580,6327629,Entire home/apt,Manhattan,Harlem,14,4.5,2,1,2,146,3,40.821605,-73.94286,43:59.9
6667,1154591,47532,Entire home/apt,Manhattan,East Harlem,37,4,8,3,1,92,3,40.797176,-73.937403,40:25.6
6668,1154609,2765138,Private room,Brooklyn,Bushwick,11,4,2,1,1,116,2,40.690953,-73.904998,08:55.2
6669,1155383,1279184,Shared room,Brooklyn,Bedford-Stuyvesant,4,5,2,1,1,88,4,40.693178,-73.950256,39:01.4
6670,1155475,2199502,Entire home/apt,Brooklyn,Fort Greene,5,5,8,4,2,409,14,40.686753,-73.977133,38:56.4
6671,1155573,568103,Private room,Manhattan,Financial District,6,4.5,1,1,1.5,106,3,40.702978,-74.010571,42:26.9
6672,1155885,6334250,Entire home/apt,Brooklyn,Bedford-Stuyvesant,33,4.5,2,1,1,99,3,40.686831,-73.929219,49:28.2
6673,1155901,5278956,Entire home/apt,Manhattan,Upper West Side,11,4.5,2,1,1,205,2,40.78601,-73.977463,09:57.1
6674,1156499,5644215,Entire home/apt,Brooklyn,Greenpoint,9,5,4,3,1,233,1,40.728972,-73.951318,39:00.6
6675,1156634,3269259,Entire home/apt,Brooklyn,Flatbush,28,4.5,4,1,1,123,3,40.652433,-73.964751,16:37.4
6676,1156680,6338482,Entire home/apt,Manhattan,Upper West Side,5,4.5,2,1,1,170,2,40.78054,-73.977666,06:06.3
6677,1156733,6338755,Entire home/apt,Brooklyn,Greenpoint,9,5,4,1,1,199,1,40.718978,-73.95336,43:59.8
6678,1156745,6338811,Entire home/apt,Manhattan,East Village,1,5,2,1,1,228,3,40.729599,-73.982217,44:02.1
6679,1156750,6338819,Entire home/apt,Brooklyn,Bushwick,0,,3,2,1,205,4,40.700689,-73.924238,11:18.0
6680,1156928,5968464,Entire home/apt,Brooklyn,Crown Heights,7,5,2,1,1,175,3,40.671619,-73.950836,25:50.0
6681,1157087,332356,Entire home/apt,Manhattan,Nolita,36,4.5,3,1,1,312,3,40.722585,-73.994562,54:55.6
6682,1157225,6341298,Entire home/apt,Manhattan,Flatiron District,13,5,2,1,1,181,3,40.741841,-73.986191,02:27.8
6683,1157271,6341550,Private room,Queens,East Elmhurst,0,,1,1,0.5,134,1,40.759103,-73.885499,01:56.8
6684,1157522,6263282,Private room,Brooklyn,Williamsburg,0,,2,1,1,175,3,40.71813,-73.959813,33:32.5
6685,1158833,3105916,Shared room,Manhattan,SoHo,5,5,1,1,1,84,1,40.724799,-74.004099,11:32.4
6686,1159083,445932,Private room,Manhattan,East Village,0,,2,1,1,116,1,40.72788,-73.98872,42:01.8
6687,1159514,6353860,Entire home/apt,Manhattan,Upper East Side,10,5,3,1,1,187,2,40.77036,-73.953144,46:48.6
6688,1159650,5738071,Entire home/apt,Manhattan,Midtown,27,5,6,2,2,610,6,40.765112,-73.983188,09:10.1
6689,1159717,201660,Entire home/apt,Manhattan,Greenwich Village,9,4.5,3,1,,175,2,40.727024,-73.996291,09:18.9
6690,1159952,6356476,Private room,Brooklyn,Bedford-Stuyvesant,1,4.5,2,1,2,58,1,40.689051,-73.941433,25:28.3
6691,1160028,6356306,Private room,Queens,Ridgewood,0,,2,1,1,152,2,40.704211,-73.899092,56:59.6
6692,1161710,3039747,Entire home/apt,Manhattan,Chelsea,1,4.5,2,1,1,235,2,40.746855,-74.00277,09:10.3
6693,1161838,6364888,Shared room,Manhattan,Hell's Kitchen,86,5,1,1,1,70,1,40.767933,-73.98917,27:32.2
6694,1161847,2347924,Private room,Manhattan,Lower East Side,35,4.5,3,1,2,199,2,40.711652,-73.985706,14:43.2
6695,1162059,5221598,Entire home/apt,Manhattan,Upper West Side,0,,4,1,1,234,1,40.786674,-73.977337,25:36.4
6696,1162413,2835399,Entire home/apt,Brooklyn,Crown Heights,1,4,4,1,1,175,1,40.676805,-73.948513,53:02.0
6697,1163255,5972039,Private room,Brooklyn,Bedford-Stuyvesant,2,4,2,1,1,104,1,40.685497,-73.923381,52:05.9
6698,1163289,6371936,Shared room,Manhattan,Washington Heights,0,,2,1,1,175,1,40.846426,-73.939483,11:39.1
6699,1163736,4001079,Private room,Manhattan,Hell's Kitchen,7,4,2,1,1,187,2,40.76591,-73.998809,22:57.4
6700,1163843,3213766,Private room,Brooklyn,Bushwick,0,,1,1,1,234,1,40.694437,-73.905981,41:23.0
6701,1163937,6375543,Entire home/apt,Manhattan,East Village,20,4.5,2,1,1,88,1,40.725769,-73.978569,52:28.4
6702,1163969,275942,Entire home/apt,Manhattan,East Village,11,5,2,1,1,380,3,40.722431,-73.98241,28:13.3
6703,1164039,1551793,Private room,Brooklyn,Williamsburg,25,4.5,2,1,1,99,1,40.701097,-73.943634,44:51.8
6704,1164111,6375533,Private room,Manhattan,East Harlem,86,5,3,1,1,104,1,40.789792,-73.948803,48:50.3
6705,1164126,6377002,Shared room,Queens,Elmhurst,15,4.5,2,1,1,53,1,40.730212,-73.871452,07:47.9
